SessionID,Game,Win,Turns
session_20250326_204905,367,1,18
session_20250326_204905,368,1,16
session_20250326_204905,369,1,16
session_20250326_204905,370,1,20
session_20250326_204905,371,0,21
session_20250326_204905,372,0,21
session_20250326_204905,373,1,20
session_20250326_204905,374,1,16
session_20250326_204905,375,1,22
session_20250326_204905,376,1,22
session_20250326_204905,377,1,20
session_20250326_204905,378,1,18
session_20250326_204905,379,1,16
session_20250326_204905,380,1,16
session_20250326_204905,381,1,20
session_20250326_204905,382,1,20
session_20250326_204905,383,1,20
session_20250326_204905,384,1,23
session_20250326_204905,385,1,17
session_20250326_204905,386,1,22
session_20250326_204905,387,1,16
session_20250326_204905,388,1,23
session_20250326_204905,389,1,20
session_20250326_204905,390,1,20
session_20250326_204905,391,1,22
session_20250326_204905,392,1,18
session_20250326_204905,393,0,21
session_20250326_204905,394,1,20
session_20250326_204905,395,1,16
session_20250326_204905,396,1,16
session_20250326_204905,397,1,16
session_20250326_204905,398,1,20
session_20250326_204905,399,1,23
session_20250326_204905,400,1,18
session_20250326_204905,401,1,16
session_20250326_204905,402,1,16
session_20250326_204905,403,1,19
session_20250326_204905,404,1,20
session_20250326_204905,405,1,16
session_20250326_204905,406,0,21
session_20250326_204905,407,1,16
session_20250326_204905,408,1,16
session_20250326_204905,409,1,16
session_20250326_204905,410,1,18
session_20250326_204905,411,1,16
session_20250326_204905,412,1,20
session_20250326_204905,413,1,23
session_20250326_204905,414,0,21
session_20250326_204905,415,1,16
session_20250326_204905,416,1,18
session_20250326_204905,417,0,21
session_20250326_204905,418,1,21
session_20250326_204905,419,1,16
session_20250326_204905,420,0,21
session_20250326_204905,421,1,16
session_20250326_204905,422,0,22
session_20250326_204905,423,1,23
session_20250326_204905,424,1,16
session_20250326_204905,425,1,16
session_20250326_204905,426,1,16
session_20250326_204905,427,1,16
session_20250326_204905,428,1,20
session_20250326_204905,429,1,20
session_20250326_204905,430,1,16
session_20250326_204905,431,1,20
session_20250326_204905,432,1,16
session_20250326_204905,433,1,16
session_20250326_204905,434,1,16
session_20250326_204905,435,1,20
session_20250326_204905,436,1,20
session_20250326_204905,437,1,16
session_20250326_204905,438,1,16
session_20250326_204905,439,1,24
session_20250326_204905,440,1,16
session_20250326_204905,441,1,19
session_20250326_204905,442,1,23
session_20250326_204905,443,1,16
session_20250326_204905,444,1,16
session_20250326_204905,445,1,23
session_20250326_204905,446,1,22
session_20250326_204905,447,1,16
session_20250326_204905,448,1,16
session_20250326_204905,449,1,24
session_20250326_204905,450,1,16
session_20250326_204905,451,1,20
session_20250326_204905,452,1,24
session_20250326_204905,453,0,21
session_20250326_204905,454,1,16
session_20250326_204905,455,0,21
session_20250326_204905,456,1,16
session_20250326_204905,457,0,21
session_20250326_204905,458,1,18
session_20250326_204905,459,1,20
session_20250326_204905,460,1,18
session_20250326_204905,461,1,20
session_20250326_204905,462,1,24
session_20250326_204905,463,1,16
session_20250326_204905,464,1,16
session_20250326_204905,465,1,20
session_20250326_204905,466,1,16
session_20250326_204905,467,1,21
session_20250326_204905,468,1,20
session_20250326_204905,469,1,20
session_20250326_204905,470,0,21
session_20250326_204905,471,1,24
session_20250326_204905,472,1,24
session_20250326_204905,473,1,20
session_20250326_204905,474,1,16
session_20250326_204905,475,1,20
session_20250326_204905,476,1,16
session_20250326_204905,477,1,21
session_20250326_204905,478,1,21
session_20250326_204905,479,1,19
session_20250326_204905,480,1,23
session_20250326_204905,481,1,16
session_20250326_204905,482,1,16
session_20250326_204905,483,1,16
session_20250326_204905,484,1,16
session_20250326_204905,485,1,16
session_20250326_204905,486,1,16
session_20250326_204905,487,1,20
session_20250326_204905,488,1,16
session_20250326_204905,489,1,16
session_20250326_204905,490,1,16
session_20250326_204905,491,1,16
session_20250326_204905,492,1,22
session_20250326_204905,493,1,16
session_20250326_204905,494,1,16
session_20250326_204905,495,1,23
session_20250326_204905,496,1,20
session_20250326_204905,497,1,20
session_20250326_204905,498,1,20
session_20250326_204905,499,1,20
session_20250326_204905,500,1,23
session_20250326_204905,501,1,16
session_20250326_204905,502,1,16
session_20250326_204905,503,1,23
session_20250326_204905,504,1,19
session_20250326_204905,505,0,21
session_20250326_204905,506,1,19
session_20250326_204905,507,1,23
session_20250326_204905,508,0,21
session_20250326_204905,509,1,19
session_20250326_204905,510,1,16
session_20250326_204905,511,1,16
session_20250326_204905,512,1,23
session_20250326_204905,513,1,16
session_20250326_204905,514,1,18
session_20250326_204905,515,1,16
session_20250326_204905,516,1,16
session_20250326_204905,517,1,19
session_20250326_204905,518,1,20
session_20250326_204905,519,1,16
session_20250326_204905,520,0,21
session_20250326_204905,521,1,17
session_20250326_204905,522,1,16
session_20250326_204905,523,1,23
session_20250326_204905,524,0,21
session_20250326_204905,525,1,20
session_20250326_204905,526,0,21
session_20250326_204905,527,1,19
session_20250326_204905,528,1,16
session_20250326_204905,529,1,23
session_20250326_204905,530,1,16
session_20250326_204905,531,1,20
session_20250326_204905,532,1,16
session_20250326_204905,533,1,20
session_20250326_204905,534,1,16
session_20250326_204905,535,1,21
session_20250326_204905,536,1,24
session_20250326_204905,537,1,20
session_20250326_204905,538,1,24
session_20250326_204905,539,1,20
session_20250326_204905,540,1,20
session_20250326_204905,541,1,16
session_20250326_204905,542,1,16
session_20250326_204905,543,1,19
session_20250326_204905,544,1,16
session_20250326_204905,545,1,16
session_20250326_204905,546,1,22
session_20250326_204905,547,1,16
session_20250326_204905,548,0,21
session_20250326_204905,549,1,24
session_20250326_204905,550,1,16
session_20250326_204905,551,1,16
session_20250326_204905,552,1,21
session_20250326_204905,553,1,17
session_20250326_204905,554,1,16
session_20250326_204905,555,1,16
session_20250326_204905,556,1,16
session_20250326_204905,557,1,16
session_20250326_204905,558,1,16
session_20250326_204905,559,0,21
session_20250326_204905,560,1,20
session_20250326_204905,561,1,16
session_20250326_204905,562,1,20
session_20250326_204905,563,1,20
session_20250326_204905,564,1,20
session_20250326_204905,565,1,21
session_20250326_204905,566,1,20
session_20250326_204905,567,1,16
session_20250326_204905,568,1,23
session_20250326_204905,569,1,20
session_20250326_204905,570,1,22
session_20250326_204905,571,1,16
session_20250326_204905,572,1,20
session_20250326_204905,573,1,20
session_20250326_204905,574,1,21
session_20250326_204905,575,1,20
session_20250326_204905,576,1,16
session_20250326_204905,577,1,20
session_20250326_204905,578,1,16
session_20250326_204905,579,1,16
session_20250326_204905,580,0,21
session_20250326_204905,581,1,16
session_20250326_204905,582,1,19
session_20250326_204905,583,1,16
session_20250326_204905,584,1,20
session_20250326_204905,585,1,16
session_20250326_204905,586,1,18
session_20250326_204905,587,0,21
session_20250326_204905,588,0,21
session_20250326_204905,589,1,16
session_20250326_204905,590,1,16
session_20250326_204905,591,1,16
session_20250326_204905,592,1,16
session_20250326_204905,593,1,16
session_20250326_204905,594,0,21
session_20250326_204905,595,1,16
session_20250326_204905,596,1,16
session_20250326_204905,597,0,21
session_20250326_204905,598,1,20
session_20250326_204905,599,0,21
session_20250326_204905,600,1,16
session_20250326_204905,601,1,19
session_20250326_204905,602,1,21
session_20250326_204905,603,1,16
session_20250326_204905,604,1,17
session_20250326_204905,605,1,18
session_20250326_204905,606,1,20
session_20250326_204905,607,1,23
session_20250326_204905,608,1,16
session_20250326_204905,609,1,22
session_20250326_204905,610,1,16
session_20250326_204905,611,1,16
session_20250326_204905,612,1,20
session_20250326_204905,613,1,16
session_20250326_204905,614,1,16
session_20250326_204905,615,0,21
session_20250326_204905,616,1,16
session_20250326_204905,617,1,16
session_20250326_204905,618,1,20
session_20250326_204905,619,0,21
